video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.39099239620536114,0.39099239620536114,0.4367954642981955
2,0.15,0.15,0.15
3,0.55,0.55,0.55
4,0.1,0.1,0.1
5,0.14082344488180576,0.14041241452477526,0.16904247938913483
6,0.0,0.0,0.0
7,0.3296211556093495,0.32914657161502403,0.3307971840981946
8,0.11553262596092032,0.11444186636837739,0.11553262596092032
9,0.7698112074188332,0.7698112074188332,0.770616218745732
10,0.0,0.0,0.0
11,0.05,0.05,0.05
12,0.0,0.0,0.0
13,0.1498009569193544,0.1498009569193544,0.14998586957269944
14,0.0,0.0,0.0
15,0.05,0.05,0.05
16,0.05,0.05,0.05
17,0.8193541802953209,0.8176885965615532,0.870261301354112
18,0.11455114236762745,0.11455114236762745,0.11477137080172621
19,0.5020587105895865,0.4304367907883835,0.5020587105895865
20,0.0,0.0,0.0
21,0.27783990712629697,0.27783990712629697,0.5233945946280814
22,0.1,0.1,0.15
23,0.55,0.55,0.7
24,0.15,0.15,0.15
25,0.8449762039064245,0.8446108480287027,0.8464174095080585
26,0.3,0.25,0.3
27,0.3,0.15,0.35
28,0.6166574961912203,0.5652387318130105,0.6166574961912203
29,0.27354652638604815,0.26847006630354264,0.27354652638604815
30,0.1968600715768412,0.18503439715739153,0.23376347910538708
31,0.1,0.1,0.1
32,0.0,0.0,0.0
33,0.34457479843221755,0.248251442426718,0.39375517873493104
34,0.05,0.0,0.05
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.8990822586983148,0.8489875677873003,0.8990822586983148
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.1,0.1,0.1
42,0.0,0.0,0.0
43,0.36618242035302834,0.36618242035302834,0.3666505798219822
44,0.0,0.0,0.15
45,0.05,0.0,0.05
46,0.27164102796923995,0.24458973903604572,0.35209948479995196
47,0.4046868500471835,0.3184808252760224,0.41597454354460617
48,0.3791857880448786,0.3573414206646864,0.4269604119847547
49,0.1,0.1,0.1
50,0.15,0.15,0.2
51,0.39992891143475245,0.39991516508053204,0.39998157239322873
52,0.9248072888849087,0.8738705597845771,0.9248072888849087
53,0.949996347433552,0.9498510747019575,0.949996347433552
54,0.9743622773635898,0.924616950088085,0.9746733296178751
55,0.94973697121324,0.9490805711750847,0.94973697121324
56,0.35,0.35,0.35
57,0.5330712863407168,0.5325484731200102,0.5331661276061573
58,0.8245774093007,0.8244200207213399,0.8746500647140479
59,0.75,0.75,0.75
60,0.7987935151836825,0.7987555173354206,0.7991506492099781
61,0.9991156459516605,0.9745866143869473,0.9995326326970215
62,0.8313790115059669,0.8310881288760736,0.8810609783192547
63,0.55,0.55,0.55
64,0.9998821151183716,0.9991560759145759,0.9998821151183716
65,0.815710876015809,0.7906216143899726,0.8827347237606811
66,0.824228254751682,0.824228254751682,0.8747049288598483
67,0.8247414285978516,0.8244185819921661,0.8493075993476232
68,0.6078745746231043,0.5579538481622739,0.6078745746231043
69,0.9996102009730204,0.9994517694611383,0.9996621704062492
70,0.6829539266229431,0.6829539266229431,0.707890247482812
71,0.7162956781244486,0.7157162210421963,0.7163013717863788
72,0.8316033742726224,0.7236487468453174,0.8570232103897236
73,0.6748815663094384,0.674621098216294,0.6748815663094384
74,0.8077665653587761,0.8077665653587761,0.8080997942763346
75,0.7244391415281272,0.6748277213162699,0.7248170873323393
76,0.6073178100243776,0.5897493588867674,0.6324488019293488
77,0.6158767993372625,0.5653941505988842,0.6165864348045791
78,0.8490951431492109,0.8489184928472724,0.8498776996648856
79,0.5823792867565919,0.5823792867565919,0.8735194692693753
80,0.33268692310940995,0.33266677683091933,0.33280306650057
81,0.9494558822942997,0.9488818004913069,0.9495103257168693
82,0.7160796594568751,0.7160796594568751,0.7662563990232294
83,0.6746649623350793,0.6746605949557479,0.691141130348036
84,0.9240461298042131,0.9240461298042131,0.9496780542133962
85,0.25,0.25,0.25
86,0.8248158895617286,0.8248158895617286,0.8499324685747613
87,0.6245204259274144,0.6163232639595793,0.6246250595406311
88,0.6487553788307407,0.6485571244827744,0.6998464825921401
89,0.824110546500943,0.7741526431802841,0.824110546500943
90,0.7995018740345737,0.7240679187947843,0.7997344517613645
91,0.6665208854951927,0.6663044988935136,0.6665208854951927
92,0.6491367195340241,0.5991517675565773,0.6491367195340241
93,0.9998716670995064,0.9494849859504673,0.9998716670995064
94,0.5245119576885381,0.5245119576885381,0.5499260723082121
95,0.9997323329156707,0.9997323329156707,0.9999535089776159
96,0.524351541699132,0.5158316131682212,0.524351541699132
97,0.9498975530199821,0.9498975530199821,0.9997461065228916
98,0.9499474171516141,0.9496661621416257,0.9499474171516141
99,0.7328280663382508,0.6698614591560276,0.7328280663382508
100,0.9999724674814405,0.9996921793273069,0.9999959184583547
