video,sim_online,sim_retrospective,sim_lesioned,sim_NN_input
1,0.575,0.6,0.575,0.49916666666666665
2,0.95,0.95,0.95,0.85
3,1.0,1.0,1.0,0.8
4,0.7416666666666666,0.5266666666666667,0.5166666666666666,0.5725
5,0.3166666666666666,0.2666666666666666,0.55,0.37499999999999994
6,1.0,1.0,1.0,0.55
7,0.8916666666666666,0.575,0.575,0.6891666666666667
8,0.9666666666666668,0.9333333333333333,0.9666666666666668,0.4749999999999999
9,0.9,0.9666666666666668,0.675,0.65
10,0.29999999999999993,0.7749999999999999,0.29999999999999993,0.46880952380952384
11,0.3666666666666666,0.39166666666666655,0.39166666666666655,0.3929761904761905
12,0.7249999999999999,0.6749999999999997,0.3333333333333332,0.4541666666666667
13,0.15,0.15,0.15,0.3825
14,0.5833333333333334,0.47333333333333333,0.38333333333333325,0.49000000000000005
15,0.9,0.95,0.9,0.6408333333333334
16,0.8583333333333332,0.5583333333333333,0.4583333333333333,0.6849999999999999
17,0.7333333333333333,0.9,0.825,0.6641666666666668
18,0.6833333333333332,0.4833333333333333,0.14166666666666666,0.4408333333333333
19,1.0,0.95,1.0,0.6833333333333333
20,0.95,1.0,1.0,0.9
21,0.775,0.575,0.775,0.6708333333333333
22,0.45,0.45,0.45,0.35
23,0.95,0.95,0.9,0.575
24,0.8416666666666666,0.725,0.725,0.6083333333333333
25,1.0,1.0,1.0,0.7583333333333333
26,1.0,1.0,1.0,0.95
27,0.27499999999999997,0.8,0.8,0.4791666666666667
28,0.7141666666666666,0.9333333333333332,0.3749999999999999,0.5546428571428572
29,0.36666666666666664,0.4958333333333334,0.38333333333333336,0.5983333333333334
30,0.9,0.9,0.8,0.45
31,1.0,1.0,1.0,0.6016666666666666
32,0.5125,0.3416666666666666,0.29166666666666663,0.475
33,0.7,0.875,0.65,0.6433333333333333
34,0.7,0.7,0.7,0.75
35,0.75,0.0,0.0,0.2666666666666667
36,0.775,0.775,0.775,0.4791666666666667
37,0.95,0.925,0.55,0.655
38,0.8333333333333334,0.825,0.75,0.41416666666666674
39,1.0,1.0,1.0,0.42666666666666664
40,0.675,0.75,0.85,0.5708333333333333
41,0.8916666666666666,0.8916666666666666,0.45,0.735
42,0.7166666666666667,0.6916666666666667,0.18333333333333332,0.4916666666666666
43,0.3583333333333333,0.3999999999999999,0.6,0.37249999999999994
44,0.8416666666666666,0.775,0.16666666666666669,0.45833333333333337
45,0.29999999999999993,0.32499999999999984,0.775,0.44333333333333336
46,0.3708333333333333,0.3958333333333333,0.425,0.4654761904761905
47,0.75,0.5708333333333333,0.75,0.6174999999999999
48,1.0,1.0,1.0,0.7
49,0.625,0.625,0.625,0.6249999999999999
50,0.25,0.3,0.25,0.19166666666666668
51,NaN,0.2,0.2,0.3583333333333333
52,NaN,0.8083333333333333,0.3,0.5183333333333333
53,NaN,0.8,0.8,0.675
54,NaN,0.8833333333333334,0.9,0.4416666666666667
55,NaN,0.95,0.775,0.5325
56,NaN,0.95,0.9,0.5
57,NaN,1.0,0.65,0.515
58,NaN,0.85,0.6,0.6833333333333333
59,NaN,0.65,0.65,0.7
60,NaN,0.925,0.4,0.4875
61,NaN,1.0,0.7,0.635
62,NaN,0.9416666666666667,0.4833333333333333,0.7658333333333334
63,NaN,0.35,0.35,0.4
64,NaN,0.95,0.95,0.6266666666666667
65,NaN,0.85,0.39166666666666666,0.4776190476190475
66,NaN,0.7458333333333332,0.33333333333333337,0.5258333333333333
67,NaN,1.0,0.65,0.5608333333333333
68,NaN,0.7916666666666667,0.525,0.4833333333333334
69,NaN,0.9,0.9,0.4125
70,NaN,0.9833333333333332,0.5083333333333333,0.5583333333333332
71,NaN,0.6875,0.675,0.61
72,NaN,0.7333333333333333,0.4833333333333333,0.6008333333333333
73,NaN,0.55,0.55,0.4491666666666667
74,NaN,0.775,0.85,0.7333333333333333
75,NaN,0.65,0.65,0.4916666666666667
76,NaN,0.7833333333333333,0.43333333333333324,0.6149999999999999
77,NaN,0.65,0.65,0.5283333333333333
78,NaN,0.5583333333333332,0.37499999999999994,0.4491666666666667
79,NaN,0.7766666666666666,0.325,0.4358333333333334
80,NaN,1.0,0.5,0.5083333333333333
81,NaN,0.9,0.625,0.7949999999999999
82,NaN,0.95,0.325,0.7291666666666666
83,NaN,0.7916666666666666,0.4833333333333333,0.4191666666666666
84,NaN,0.8708333333333333,0.7083333333333333,0.7383333333333333
85,NaN,0.95,0.95,0.4666666666666667
86,NaN,0.6,0.775,0.5616666666666668
87,NaN,0.5999999999999999,0.4750000000000001,0.6200000000000001
88,NaN,0.6,0.6,0.4333333333333334
89,NaN,0.925,0.4,0.6741666666666666
90,NaN,0.65,0.1,0.4333333333333333
91,NaN,0.5666666666666667,0.43333333333333324,0.42250000000000004
92,NaN,0.0,0.0,0.2
93,NaN,0.575,0.55,0.5333333333333333
94,NaN,0.925,0.475,0.38333333333333336
95,NaN,0.25,1.0,0.75
96,NaN,0.45,0.2,0.39
97,NaN,0.5,0.5,0.25
98,NaN,0.725,0.95,0.6583333333333334
99,NaN,0.22500000000000003,0.22500000000000003,0.36750000000000005
100,NaN,0.9,0.9,0.6599999999999999
